address_id,street_address,city,state,zip_code,latitude,longitude
1,86471 Kensington Terrace,San Francisco,California,94142.0,37.7848,-122.7278
2,269 Esch Avenue,Huntsville,Texas,77343.0,30.7813,-95.5953
3,5 Atwood Trail,Oklahoma City,Oklahoma,73179.0,35.4242,-97.6547
4,04 Moland Trail,Vero Beach,Florida,32969.0,27.709,-80.5726
5,99611 Old Shore Crossing,Charlotte,North Carolina,28215.0,35.244,-80.7387
6,653 Larry Terrace,Kingsport,Tennessee,37665.0,36.5799,-82.5733
7,591 Duke Hill,Tulsa,Oklahoma,74108.0,36.1499,-95.7923
8,702 Gulseth Court,Manassas,Virginia,22111.0,38.7202,-77.4391
9,86 Randy Road,Los Angeles,California,90050.0,33.7866,-118.2987
10,2 Superior Drive,Birmingham,Alabama,35242.0,33.3813,-86.7046
11,9106 Welch Terrace,Young America,Minnesota,55573.0,45.0159,-93.4719
12,66067 Fulton Avenue,Orlando,Florida,32803.0,28.5559,-81.3535
13,5 Sunbrook Road,Dayton,Ohio,45454.0,39.7505,-84.2686
14,88301 Union Pass,Houston,Texas,,29.7971,-95.4958
15,6 Arrowood Alley,Omaha,Nebraska,68105.0,41.2435,-95.9629
16,0 East Alley,Lake Worth,Florida,33462.0,26.5747,-80.0794
17,37 Corben Plaza,Utica,New York,13505.0,43.0872,-75.2603
18,2 Quincy Pass,Cincinnati,Ohio,45296.0,39.1668,-84.5382
19,9822 Hollow Ridge Court,Salem,Oregon,97306.0,44.8685,-123.0438
20,162 Morning Junction,Saint Petersburg,Florida,,27.8918,-82.7248
21,6026 Ludington Park,Ogden,Utah,84403.0,41.1894,-111.9489
22,0 Laurel Place,Albuquerque,New Mexico,87115.0,35.0549,-106.5461
23,1 Tomscot Park,Green Bay,Wisconsin,54313.0,44.5463,-88.1021
24,9 Carberry Center,Wichita,Kansas,67220.0,37.7667,-97.2805
25,431 Sachs Lane,Rochester,New York,,43.1558,-77.6142
26,0055 Summer Ridge Lane,Ogden,Utah,84409.0,41.2553,-111.9567
27,532 Scoville Terrace,Chattanooga,Tennessee,,35.2211,-85.2091
28,60 Hanover Junction,Richmond,Virginia,23228.0,37.625,-77.4959
29,1 Grim Court,Pasadena,California,91109.0,33.7866,-118.2987
30,4 Buena Vista Alley,New Hyde Park,New York,11044.0,40.7548,-73.6018
31,1089 Orin Pass,Odessa,Texas,79769.0,31.7466,-102.567
32,0 Canary Crossing,Colorado Springs,Colorado,80945.0,38.8247,-104.562
33,4257 Rowland Junction,Eugene,Oregon,97405.0,44.0185,-123.0998
34,6 Ronald Regan Parkway,Philadelphia,Pennsylvania,19104.0,39.9597,-75.2024
35,1 Messerschmidt Way,Tucson,Arizona,85754.0,31.9701,-111.8907
36,58613 Mendota Court,Houston,Texas,77271.0,29.834,-95.4342
37,81670 Sauthoff Plaza,New Orleans,Louisiana,70183.0,29.6779,-90.0901
38,74 Delladonna Circle,Lynn,Massachusetts,1905.0,42.4694,-70.9728
39,61658 Lakewood Road,Lexington,Kentucky,40510.0,38.0702,-84.591
40,7 Thackeray Plaza,Tampa,Florida,33615.0,28.0081,-82.5805
41,44 Beilfuss Parkway,Corpus Christi,Texas,78475.0,27.777,-97.4632
42,00 Waubesa Pass,Akron,Ohio,44315.0,41.028,-81.4632
43,8952 Merchant Way,Chicago,Illinois,60609.0,41.8097,-87.6533
44,799 Fairview Center,Cumming,Georgia,30130.0,34.2216,-84.1537
45,7298 Bartelt Circle,Corona,California,,33.7541,-117.474
46,420 Havey Plaza,Monroe,Louisiana,,32.4968,-92.0756
47,60449 Knutson Crossing,Columbus,Ohio,43231.0,40.081,-82.9383
48,9 Rockefeller Drive,Boulder,Colorado,80328.0,40.0878,-105.3735
49,5332 Mockingbird Junction,San Francisco,California,94116.0,37.7441,-122.4863
50,0 Washington Plaza,Paterson,New Jersey,7544.0,41.0114,-74.3048
51,6687 Main Center,Denver,Colorado,80209.0,39.7074,-104.9686
52,7977 Acker Circle,Roanoke,Virginia,24048.0,37.2742,-79.9579
53,251 Oakridge Avenue,Corpus Christi,Texas,78405.0,27.7762,-97.4271
54,8 Raven Terrace,Orlando,Florida,32835.0,28.5289,-81.4787
55,0 Duke Parkway,Chattanooga,Tennessee,37405.0,35.0768,-85.3082
56,47246 Hallows Hill,Cleveland,Ohio,44118.0,41.5008,-81.5516
57,5 Prairie Rose Way,Greensboro,North Carolina,27499.0,36.0807,-80.0244
58,77813 Monica Point,Hartford,Connecticut,6105.0,41.7691,-72.701
59,39946 Mallard Hill,El Paso,Texas,88530.0,31.6948,-106.3
60,8 Blaine Place,Hartford,Connecticut,6160.0,41.7665,-72.6933
61,56641 Kings Terrace,Fort Lauderdale,Florida,33320.0,26.1625,-80.2582
62,33 Forest Run Parkway,Lexington,Kentucky,40586.0,38.0283,-84.4715
63,01379 Rigney Drive,Rochester,New York,14614.0,43.1558,-77.6142
64,0386 Lyons Point,Sacramento,California,94280.0,38.3774,-121.4444
65,8 Lien Pass,Norfolk,Virginia,23514.0,36.9312,-76.2397
66,62410 Northwestern Road,Pasadena,California,,34.1478,-118.1436
67,38649 Gerald Alley,Aurora,Colorado,80044.0,39.7388,-104.4083
68,05 Cody Road,Charlotte,North Carolina,28220.0,35.26,-80.8042
69,405 Surrey Parkway,Amarillo,Texas,79118.0,35.0763,-101.8349
70,137 Talmadge Park,Santa Fe,New Mexico,,35.6219,-105.8688
71,51006 Bultman Junction,Abilene,Texas,79699.0,32.4665,-99.7117
72,151 Jay Street,Green Bay,Wisconsin,54313.0,44.5463,-88.1021
73,6 Corscot Avenue,Albany,New York,12205.0,42.7198,-73.8207
74,707 Mallard Drive,Houston,Texas,77075.0,29.6223,-95.26
75,2 Barnett Pass,Saginaw,Michigan,48609.0,43.3869,-84.0926
76,75 Schmedeman Point,Kansas City,Missouri,64136.0,39.0187,-94.4008
77,18 Oak Point,Mesa,Arizona,85210.0,33.3887,-111.8428
78,610 Warrior Plaza,Tulsa,Oklahoma,74133.0,36.0467,-95.8841
79,37 Pond Drive,Detroit,Michigan,48267.0,42.2399,-83.1508
80,303 Blue Bill Park Pass,Rochester,New York,14624.0,43.1216,-77.7311
81,3904 Meadow Ridge Pass,Worcester,Massachusetts,1605.0,42.2894,-71.7888
82,076 Anhalt Court,Glendale,California,91205.0,34.1378,-118.2424
83,15083 Cherokee Way,Terre Haute,Indiana,47812.0,39.4336,-87.4101
84,7266 Eagan Crossing,Anderson,South Carolina,,34.5271,-82.7087
85,08510 Bobwhite Lane,Newport News,Virginia,23612.0,37.1959,-76.5248
86,73 Esker Court,Roanoke,Virginia,24029.0,37.2742,-79.9579
87,2411 Kensington Alley,Washington,District of Columbia,20210.0,38.8933,-77.0146
88,66 Summer Ridge Park,Tacoma,Washington,98411.0,47.0662,-122.1132
89,2 Randy Parkway,Elizabeth,New Jersey,7208.0,40.6747,-74.2239
90,237 Roxbury Road,San Antonio,Texas,78255.0,29.6701,-98.6873
91,8728 Meadow Vale Park,Monticello,Minnesota,55590.0,45.2009,-93.8881
92,0 Columbus Road,Glendale,Arizona,,33.2765,-112.1872
93,44748 Jay Circle,Ashburn,Virginia,22093.0,39.0853,-77.6452
94,79076 West Parkway,Mobile,Alabama,36641.0,30.6589,-88.178
95,08 Northwestern Street,Palmdale,California,93591.0,34.6019,-117.8123
96,67 Cardinal Court,New Orleans,Louisiana,70160.0,30.033,-89.8826
97,2 Schiller Drive,Charlottesville,Virginia,,38.0401,-78.4851
98,77 Mesta Point,Pinellas Park,Florida,34665.0,27.8402,-82.7125
99,13545 Sachtjen Drive,Peoria,Arizona,85383.0,33.7169,-112.238
100,47 Londonderry Circle,Austin,Texas,78754.0,30.3423,-97.6673
101,68910 Heffernan Place,Columbus,Ohio,43220.0,40.0495,-83.0669
102,07218 Atwood Place,Chicago,Illinois,60691.0,41.8119,-87.6873
103,12 Bartillon Plaza,Killeen,Texas,76544.0,31.1282,-97.7469
104,76546 Sunbrook Point,Scranton,Pennsylvania,18514.0,41.4019,-75.6376
105,5 Killdeer Plaza,Maple Plain,Minnesota,55579.0,45.0159,-93.4719
106,0 Monica Street,New Orleans,Louisiana,70160.0,30.033,-89.8826
107,93 Homewood Circle,Phoenix,Arizona,85020.0,33.5623,-112.0559
108,5 Loeprich Center,Fort Lauderdale,Florida,33345.0,26.1654,-80.2959
109,2576 Bobwhite Park,Tulsa,Oklahoma,,36.1398,-96.0297
110,9 Village Pass,El Paso,Texas,79923.0,31.6948,-106.3
111,278 Lake View Place,Las Vegas,Nevada,89110.0,36.173,-115.0669
112,054 Summerview Avenue,Houston,Texas,77020.0,29.7758,-95.3121
113,6030 Mitchell Avenue,Riverside,California,,33.7529,-116.0556
114,1803 Calypso Plaza,Chicago,Illinois,60624.0,41.8804,-87.7223
115,75 Hauk Court,Dallas,Texas,75392.0,32.7673,-96.7776
116,81 Holy Cross Street,Salt Lake City,Utah,84120.0,40.695,-112.0001
117,6 American Drive,Tacoma,Washington,98447.0,47.1441,-122.4434
118,73 Toban Trail,San Bernardino,California,92415.0,34.84,-115.9671
119,44 Cardinal Circle,Baltimore,Maryland,21203.0,39.2847,-76.6205
120,163 Waxwing Drive,Abilene,Texas,79605.0,32.432,-99.7724
121,5 Ronald Regan Park,Vero Beach,Florida,32969.0,27.709,-80.5726
122,3257 Northland Way,Springfield,Massachusetts,1129.0,42.1223,-72.4876
123,115 Golf Junction,Atlanta,Georgia,31136.0,33.7473,-84.3824
124,00990 Mandrake Alley,Dallas,Texas,75277.0,32.7673,-96.7776
125,0332 Bartelt Pass,Seattle,Washington,98148.0,47.4441,-122.3249
126,627 Moose Parkway,Pittsburgh,Pennsylvania,15255.0,40.4344,-80.0248
127,02589 Loomis Parkway,Chicago,Illinois,60681.0,41.8119,-87.6873
128,1776 Loeprich Way,Sarasota,Florida,34276.0,27.1675,-82.381
129,990 Eliot Way,Baltimore,Maryland,21239.0,39.361,-76.5891
130,8292 Hoffman Point,Stockton,California,95298.0,37.9577,-121.2897
131,97388 Bashford Crossing,Louisville,Kentucky,40287.0,38.189,-85.6768
132,00 Raven Hill,Las Vegas,Nevada,89110.0,36.173,-115.0669
133,3674 Susan Junction,San Antonio,Texas,78225.0,29.3875,-98.5245
134,09019 Westridge Pass,South Bend,Indiana,46634.0,41.5968,-86.293
135,24780 Leroy Junction,Wilmington,Delaware,19897.0,39.5645,-75.597
136,201 Kingsford Avenue,Salt Lake City,Utah,84110.0,40.6681,-111.9083
137,7097 Maple Place,Seattle,Washington,98158.0,47.4497,-122.3076
138,5043 Merchant Pass,Modesto,California,,37.6409,-120.9749
139,829 Sauthoff Way,Bradenton,Florida,34282.0,27.4272,-82.4387
140,5369 Oakridge Plaza,Chattanooga,Tennessee,37416.0,35.0942,-85.1757
141,4 Eagan Plaza,Honolulu,Hawaii,96850.0,21.3095,-157.863
142,709 Hoffman Circle,Houston,Texas,77245.0,29.834,-95.4342
143,426 Merry Center,Honolulu,Hawaii,96850.0,21.3095,-157.863
144,63145 Iowa Park,Washington,District of Columbia,20016.0,38.9381,-77.086
145,343 Melby Crossing,Las Vegas,Nevada,89120.0,36.0914,-115.0885
146,71815 Golf View Plaza,Fort Smith,Arkansas,72916.0,35.2502,-94.3703
147,43197 Ryan Terrace,Tallahassee,Florida,32304.0,30.4478,-84.3211
148,011 Dahle Road,Oklahoma City,Oklahoma,73142.0,35.599,-97.6251
149,6958 Park Meadow Terrace,Orange,California,92867.0,33.811,-117.8493
150,76 Norway Maple Drive,Cedar Rapids,Iowa,52410.0,42.0794,-91.5992
151,6712 Scofield Pass,Saint Paul,Minnesota,55188.0,45.0059,-93.1059
152,3 Wayridge Alley,Shawnee Mission,Kansas,66220.0,38.9613,-94.8222
153,88 Butternut Terrace,Portsmouth,Virginia,23705.0,36.8686,-76.3552
154,59 Golf Course Pass,Tucson,Arizona,,32.215,-110.7758
155,11681 Old Gate Terrace,Washington,District of Columbia,20420.0,38.9035,-77.0276
156,3 Bayside Parkway,Orlando,Florida,32819.0,28.4522,-81.4678
157,16 Holmberg Circle,Nashville,Tennessee,37240.0,36.1866,-86.7852
158,4661 Marquette Road,Springfield,Missouri,65810.0,37.1136,-93.2896
159,348 Hoffman Park,Arlington,Virginia,22212.0,38.8808,-77.113
160,03867 Loomis Place,Richmond,Virginia,,37.5242,-77.4932
161,23 Hovde Terrace,Minneapolis,Minnesota,55407.0,44.9378,-93.2545
162,8262 Hudson Road,Los Angeles,California,90045.0,33.9631,-118.3941
163,951 Vermont Terrace,Orlando,Florida,32819.0,28.4522,-81.4678
