commission_id,commission_rate,commission_amount,payment_method,payment_date
1,4.2,21619,Draft,1/13/2021
2,3.2,34562,Draft,8/27/2022
3,2.6,9710,Pay Order,8/30/2021
4,4.1,44279,Pay Order,2/13/2023
5,3.6,45647,Draft,3/5/2023
6,4.7,13099,Cash,11/12/2021
7,5.9,44543,Pay Order,9/21/2022
8,3.6,12497,EFT,1/4/2019
9,4.4,7013,EFT,10/4/2023
10,2.1,40535,Cash,10/24/2019
11,,26656,Cheque,2/1/2023
12,2.0,5988,Pay Order,11/26/2023
13,4.0,19783,EFT,12/19/2022
14,2.4,26574,Draft,1/21/2022
15,2.2,29920,Cheque,5/2/2022
16,3.0,44301,Draft,3/10/2019
17,4.4,3083,Cheque,4/22/2020
18,6.0,13890,Pay Order,5/3/2022
19,3.2,30782,EFT,8/7/2021
20,5.0,28814,Draft,5/1/2022
21,5.4,5620,Cheque,2/5/2020
22,4.3,35552,EFT,3/14/2022
23,3.6,29997,Cash,8/9/2023
24,4.3,11025,Cheque,8/19/2019
25,2.0,34769,Cheque,6/29/2023
26,3.1,28343,Draft,5/19/2019
27,3.4,21381,Cheque,6/7/2023
28,3.7,28664,Pay Order,9/8/2023
29,5.8,25411,EFT,2/14/2020
30,5.0,8471,EFT,6/26/2019
31,2.6,35635,Draft,2/9/2023
32,6.0,13593,Draft,6/30/2020
33,3.9,24425,Draft,12/6/2023
34,5.7,34720,Pay Order,10/27/2020
35,2.8,43795,Pay Order,3/30/2022
36,2.6,1641,EFT,12/20/2021
37,5.8,1748,Pay Order,10/20/2021
38,2.1,40694,EFT,11/25/2023
39,3.0,44019,Cheque,10/22/2022
40,3.2,43795,EFT,11/9/2019
41,5.6,24506,Draft,3/1/2020
42,3.5,37408,Draft,3/27/2023
43,5.9,42107,EFT,5/30/2019
44,5.4,11650,EFT,7/21/2022
45,2.2,13154,Pay Order,8/21/2022
46,3.3,44432,Cheque,8/15/2021
47,4.1,8272,EFT,1/13/2019
48,5.4,24954,Cheque,12/7/2022
49,3.4,15858,Pay Order,7/7/2023
50,2.1,41523,Cheque,8/26/2023
51,4.3,45678,Draft,10/2/2021
52,4.9,2563,Cash,6/7/2021
53,2.1,25101,Cash,11/18/2023
54,4.9,26838,Pay Order,11/14/2021
55,4.7,36886,Cash,7/31/2022
56,5.5,21167,Cheque,1/25/2019
57,4.7,28698,Draft,10/11/2021
58,2.9,17825,EFT,5/7/2023
59,3.7,9553,Cheque,8/27/2019
60,4.0,3789,Pay Order,9/10/2023
61,3.7,35286,Cash,6/3/2022
62,2.4,18427,Cheque,11/6/2022
63,5.4,46525,Pay Order,9/25/2022
64,4.2,44655,Draft,12/9/2021
65,2.2,42571,EFT,11/12/2023
66,4.7,41174,Pay Order,11/26/2019
67,2.1,6303,Cash,11/19/2023
68,4.2,12682,EFT,5/27/2023
69,3.8,43019,Cash,7/11/2023
70,4.6,4687,Pay Order,2/10/2023
71,5.9,32838,Cash,2/22/2022
72,2.0,25213,EFT,3/15/2020
73,5.7,26711,Pay Order,2/21/2023
74,4.6,4559,Pay Order,1/28/2023
75,4.5,17124,Cash,9/20/2022
76,4.1,4341,EFT,7/17/2020
77,5.0,35037,Draft,11/30/2021
78,4.4,28133,Cheque,12/21/2023
79,3.7,24823,Cash,9/26/2020
80,3.7,7998,Pay Order,3/23/2022
81,4.5,6056,Cheque,3/4/2019
82,2.9,34905,EFT,6/8/2022
83,3.7,1701,Draft,7/24/2022
84,3.2,23339,EFT,5/3/2021
85,3.6,24231,Pay Order,9/2/2023
86,4.7,24435,Pay Order,11/15/2021
87,4.2,39919,Cheque,10/5/2023
88,5.4,25304,Draft,11/23/2019
89,5.5,37533,Pay Order,12/13/2023
90,2.2,45127,Draft,8/16/2021
91,3.9,42430,Cheque,1/31/2021
92,2.2,30449,Draft,8/4/2023
93,5.4,7938,Draft,8/3/2020
94,3.1,32482,Draft,7/8/2022
95,,33661,Draft,5/20/2019
96,5.3,25549,EFT,5/20/2020
97,4.4,14605,Draft,8/6/2019
98,4.1,6199,Draft,2/19/2022
99,3.9,33254,Cheque,8/28/2020
