feature_id,lot_area_sqft,no_bedrooms,no_bathrooms,no_kitchens,no_floors,parking_area_sqft,year_built,condition_rating
1,3418,4.0,4,2,2,473.0,1981,1
2,2611,4.0,4,2,1,89.0,2022,9
3,797,1.0,1,1,1,52.0,1972,7
4,2155,3.0,3,2,1,,2020,2
5,1469,3.0,3,1,1,18.0,1982,2
6,4351,5.0,5,2,2,130.0,1991,1
7,2934,,4,2,1,181.0,2000,7
8,1502,3.0,3,2,1,,2005,9
9,3671,5.0,5,2,2,640.0,2009,4
10,3063,4.0,4,2,2,605.0,1987,4
11,1882,3.0,3,2,1,299.0,1956,6
12,1719,3.0,3,2,1,,2003,2
13,1989,3.0,3,2,1,381.0,1966,1
14,920,,1,1,1,103.0,2002,7
15,917,1.0,1,1,1,,1991,3
16,586,1.0,1,1,1,34.0,2004,2
17,3180,4.0,4,2,2,416.0,1983,3
18,1139,2.0,2,1,1,53.0,1996,1
19,1633,3.0,3,2,1,62.0,1977,2
20,2168,3.0,3,2,1,236.0,1994,5
21,2543,4.0,4,2,1,310.0,1964,7
22,2746,4.0,4,2,1,545.0,1960,9
23,762,,1,1,1,52.0,2008,4
24,3986,5.0,5,2,2,472.0,1976,8
25,2993,4.0,4,2,1,178.0,1953,5
26,4661,6.0,6,3,2,129.0,1962,8
27,2067,,3,2,1,,1967,9
28,4947,6.0,6,3,2,99.0,2010,1
29,1455,3.0,3,1,1,48.0,2002,4
30,2017,3.0,3,2,1,81.0,2013,2
31,4219,5.0,5,2,2,131.0,1978,4
32,1532,3.0,3,2,1,64.0,1985,1
33,1235,2.0,2,1,1,,1953,6
34,2259,3.0,3,2,1,66.0,2021,6
35,536,1.0,1,1,1,41.0,2011,3
36,1612,3.0,3,2,1,211.0,2007,7
37,571,,1,1,1,37.0,2003,4
38,4092,5.0,5,2,2,604.0,2013,4
39,3803,5.0,5,2,2,668.0,1955,10
40,3580,4.0,4,2,2,243.0,2022,9
41,4703,6.0,6,3,2,489.0,2005,2
42,3616,5.0,5,2,2,538.0,1968,2
43,977,1.0,1,1,1,113.0,1953,6
44,4112,5.0,5,2,2,672.0,2005,5
45,3173,4.0,4,2,2,545.0,1981,8
46,3044,4.0,4,2,2,445.0,1962,3
47,3178,4.0,4,2,2,136.0,1993,10
48,4596,6.0,6,3,2,209.0,1992,4
49,1131,2.0,2,1,1,188.0,1983,2
50,814,1.0,1,1,1,94.0,1980,10
51,2841,4.0,4,2,1,415.0,2002,3
52,1305,2.0,2,1,1,136.0,1958,3
53,4103,5.0,5,2,2,756.0,1983,9
54,1538,3.0,3,2,1,,2021,2
55,4990,6.0,6,3,2,902.0,1972,2
56,2897,4.0,4,2,1,211.0,1954,5
57,3541,4.0,4,2,2,49.0,1998,2
58,1691,3.0,3,2,1,295.0,1972,1
59,3919,5.0,5,2,2,358.0,2013,9
60,3852,5.0,5,2,2,560.0,1956,3
61,3687,5.0,5,2,2,502.0,1997,3
62,2715,4.0,4,2,1,214.0,1956,6
63,705,1.0,1,1,1,65.0,1978,6
64,3912,5.0,5,2,2,509.0,1955,4
65,4450,6.0,6,2,2,,2018,5
66,3067,4.0,4,2,2,316.0,1978,3
67,4686,6.0,6,3,2,,1960,4
68,2388,4.0,4,2,1,440.0,2001,4
69,2919,,4,2,1,,1985,7
70,3797,5.0,5,2,2,,1965,9
71,4160,5.0,5,2,2,517.0,2017,10
72,4954,6.0,6,3,2,723.0,1952,5
73,2802,4.0,4,2,1,,2001,4
74,4662,6.0,6,3,2,254.0,2008,6
75,1368,2.0,2,1,1,146.0,2004,4
76,3833,,5,2,2,12.0,2016,4
77,945,1.0,1,1,1,29.0,1995,10
78,984,,1,1,1,75.0,1951,7
79,1234,2.0,2,1,1,195.0,2016,10
