property_id,address_id,owner_id,agent_id,feature_id,listing_date,listing_type,asking_amount
1,411,221,327,1,1/27/2021,Sale,471216.0
2,45,988,384,2,5/6/2022,Sale,362377.0
3,338,181,643,3,6/29/2020,Sale,595328.0
4,26,765,108,4,5/31/2021,Rental,933964.0
5,391,970,832,5,6/9/2019,Sale,
6,851,479,913,6,7/13/2020,Sale,903208.0
7,863,4,288,7,12/12/2023,Rental,141770.0
8,310,118,524,8,2/25/2022,Rental,738200.0
9,208,645,445,9,5/10/2023,Sale,300904.0
10,922,275,149,10,7/8/2023,Rental,168352.0
11,254,982,99,11,10/4/2022,Rental,47395.0
12,801,222,281,12,2/24/2023,Rental,859680.0
13,974,534,556,13,7/8/2022,Rental,271050.0
14,162,977,182,14,10/28/2019,Rental,59082.0
15,702,396,51,15,8/27/2022,Rental,186929.0
16,362,36,357,16,1/7/2022,Sale,226926.0
17,261,518,633,17,1/10/2023,Rental,
18,339,603,13,18,4/5/2020,Sale,647939.0
19,55,515,459,19,3/4/2021,,314776.0
20,811,17,312,20,9/20/2021,Sale,595579.0
21,153,767,314,21,9/28/2021,Sale,383845.0
22,11,568,804,22,7/24/2022,,
23,839,595,125,23,7/3/2020,,
24,85,799,744,24,5/31/2020,,941795.0
25,518,945,217,25,7/26/2019,Sale,889771.0
26,50,918,520,26,12/4/2021,Rental,484836.0
27,935,324,89,27,6/3/2022,,548190.0
28,398,346,320,28,8/11/2021,,515748.0
29,579,590,756,29,10/12/2023,Sale,39361.0
30,844,949,355,30,3/1/2021,Rental,249581.0
31,803,278,508,31,2/20/2022,Sale,53848.0
32,820,567,732,32,8/3/2020,Sale,882362.0
33,290,699,290,33,11/13/2022,Sale,648909.0
34,77,591,448,34,11/16/2019,,114767.0
35,800,319,116,35,3/2/2023,Sale,544243.0
36,204,331,436,36,10/19/2023,Rental,666868.0
37,479,536,546,37,8/4/2021,Rental,874558.0
38,213,933,315,38,4/17/2020,Sale,612120.0
39,955,689,483,39,3/1/2022,,595357.0
40,497,269,46,40,3/11/2019,Rental,235388.0
41,709,336,583,41,4/19/2019,Rental,696196.0
42,359,884,593,42,10/19/2019,Sale,307673.0
43,90,825,114,43,8/10/2021,Rental,154191.0
44,987,719,731,44,11/13/2020,Sale,454918.0
45,166,793,377,45,4/26/2023,,859391.0
46,195,581,398,46,10/25/2021,Sale,691544.0
47,403,701,145,47,3/13/2023,,
48,314,156,655,48,1/7/2022,Rental,922438.0
49,349,87,713,49,2/10/2019,,395844.0
50,674,307,957,50,7/4/2022,Sale,24543.0
51,576,152,247,51,2/25/2023,Rental,421684.0
52,813,451,586,52,6/21/2022,Sale,209683.0
53,358,961,271,53,2/5/2022,Sale,993637.0
54,86,657,690,54,1/15/2019,Sale,751404.0
55,996,931,58,55,7/13/2021,,553240.0
56,97,257,418,56,5/24/2022,Rental,110581.0
57,400,38,47,57,6/6/2019,Rental,365695.0
58,927,573,477,58,6/28/2023,Rental,255264.0
59,808,832,295,59,10/27/2023,Rental,568383.0
60,749,414,23,60,7/13/2021,Sale,483967.0
61,430,957,481,61,12/9/2019,Sale,830073.0
62,915,83,667,62,8/24/2019,Rental,682312.0
63,75,778,330,63,5/8/2020,Rental,584316.0
64,513,743,962,64,12/18/2021,Rental,26141.0
65,424,49,939,65,6/2/2021,Sale,722849.0
66,859,450,729,66,9/6/2020,Sale,874666.0
67,491,608,746,67,8/25/2023,Sale,517605.0
68,548,304,603,68,10/29/2019,Sale,631073.0
69,375,31,835,69,3/25/2021,Rental,389307.0
70,760,692,526,70,3/1/2021,,540901.0
71,994,556,968,71,1/13/2020,Sale,387417.0
72,224,560,933,72,2/12/2023,Sale,197153.0
73,240,623,421,73,1/4/2022,Rental,901799.0
74,672,670,515,74,8/1/2021,Sale,810230.0
75,741,33,864,75,6/30/2019,Rental,127671.0
76,666,409,767,76,11/15/2020,Sale,309431.0
77,968,862,889,77,12/23/2022,Sale,734275.0
78,869,282,124,78,11/19/2022,Rental,901299.0
79,152,702,648,79,5/16/2022,Rental,74098.0
80,83,919,519,80,12/6/2023,Sale,728959.0
81,727,841,6,81,1/20/2019,Sale,
82,28,974,571,82,7/29/2023,Sale,369776.0
83,510,112,986,83,12/18/2021,Rental,357692.0
84,633,557,952,84,6/20/2021,Rental,272099.0
85,903,99,816,85,1/9/2020,Rental,954256.0
86,139,550,349,86,12/17/2020,Sale,73088.0
87,695,973,61,87,10/11/2019,Sale,725207.0
88,750,926,109,88,6/27/2019,Rental,673517.0
89,114,306,557,89,5/31/2020,Sale,971314.0
90,964,868,575,90,2/19/2020,Sale,677291.0
91,549,267,403,91,8/3/2019,Sale,988492.0
92,926,177,159,92,11/28/2019,Sale,314310.0
93,364,41,567,93,3/29/2019,Sale,872689.0
94,535,609,449,94,7/29/2019,Rental,335441.0
95,977,922,183,95,8/22/2021,Rental,669878.0
96,925,908,422,96,7/18/2022,Sale,737508.0
97,486,524,135,97,6/5/2022,Rental,262833.0
98,443,258,836,98,7/7/2021,Rental,894004.0
99,320,769,493,99,2/23/2023,Sale,885559.0
100,704,400,313,100,8/11/2021,,346606.0
101,483,614,635,101,8/30/2019,Rental,58937.0
102,92,587,378,102,6/18/2020,Sale,574771.0
103,794,71,692,103,6/28/2019,Sale,794018.0
104,632,193,755,104,9/17/2022,Rental,
105,972,612,389,105,8/29/2019,Sale,852726.0
106,49,679,854,106,8/27/2022,Rental,690136.0
107,825,766,802,107,7/20/2019,Rental,750716.0
108,993,879,760,108,5/5/2022,Sale,849862.0
109,159,671,248,109,7/22/2020,Sale,789016.0
110,533,946,56,110,5/5/2023,Sale,453230.0
111,756,1000,884,111,8/27/2022,Sale,517512.0
112,277,265,914,112,10/5/2019,,915257.0
113,423,204,989,113,8/20/2021,Sale,380761.0
114,270,467,334,114,4/8/2021,Sale,467636.0
115,711,963,528,115,6/14/2021,Sale,967534.0
116,371,390,612,116,4/8/2021,,755442.0
117,285,677,395,117,1/30/2023,Rental,744242.0
118,161,490,166,118,7/14/2020,Rental,636393.0
119,52,548,796,119,6/7/2023,Rental,479249.0
120,846,528,495,120,3/22/2023,Sale,571014.0
121,163,294,64,121,11/9/2019,Sale,814513.0
122,435,828,954,122,3/17/2022,Rental,27269.0
123,504,370,133,123,1/28/2019,Sale,
124,502,446,191,124,7/9/2022,Sale,987132.0
125,984,499,470,125,9/28/2022,Sale,
126,660,678,17,126,11/28/2019,Sale,363918.0
127,353,780,838,127,6/11/2021,Rental,161675.0
128,630,210,102,128,1/8/2023,Sale,423656.0
129,119,626,79,129,12/4/2021,Sale,863636.0
130,884,89,751,130,3/30/2020,Sale,461651.0
131,459,663,867,131,4/3/2023,Rental,185879.0
132,488,175,990,132,5/30/2021,,831552.0
133,569,644,234,133,1/11/2019,Rental,860361.0
134,167,249,916,134,7/21/2022,Sale,113755.0
135,595,151,984,135,5/11/2019,Sale,773402.0
136,292,171,919,136,3/21/2023,Sale,610342.0
137,209,464,53,137,6/26/2019,Rental,728186.0
138,279,48,610,138,9/29/2021,Sale,966007.0
139,450,773,871,139,5/18/2019,Sale,
140,481,939,502,140,1/21/2019,Rental,564947.0
141,965,737,997,141,1/7/2019,Rental,542886.0
142,731,891,727,142,4/20/2020,Rental,405871.0
143,88,757,127,143,3/19/2023,,905134.0
144,238,123,963,144,3/24/2020,Rental,
145,765,391,888,145,6/18/2020,Rental,648935.0
146,27,927,362,146,7/3/2022,Sale,578419.0
147,15,622,160,147,6/17/2020,Sale,183963.0
148,620,605,602,148,4/21/2023,Sale,937939.0
149,715,930,882,149,12/13/2019,Rental,671510.0
150,117,991,67,150,8/30/2019,Rental,56041.0
151,624,582,878,151,5/25/2021,Rental,377626.0
152,836,653,995,152,9/7/2023,Rental,472284.0
153,933,230,264,153,11/11/2020,Sale,357086.0
154,156,611,242,154,12/4/2019,Sale,132999.0
155,444,749,841,155,8/31/2023,,270445.0
156,748,883,469,156,3/24/2019,Sale,547669.0
157,372,502,419,157,6/10/2023,Rental,827605.0
158,475,194,859,158,12/28/2023,,377629.0
159,511,943,822,159,4/8/2022,Sale,275460.0
160,593,418,123,160,6/26/2023,,896166.0
161,89,607,590,161,2/18/2019,,523599.0
162,601,172,147,162,11/13/2020,Sale,293011.0
163,981,50,819,163,12/17/2020,Sale,532155.0
164,768,833,239,164,9/24/2021,Sale,772239.0
165,971,967,140,165,1/6/2019,,404994.0
166,893,413,266,166,1/4/2020,Sale,238063.0
167,191,850,761,167,1/12/2021,Rental,775335.0
168,477,896,375,168,7/30/2023,Rental,937871.0
169,328,429,293,169,1/11/2020,Rental,497698.0
170,150,907,256,170,12/24/2023,Sale,272109.0
171,246,631,613,171,1/2/2020,Sale,715985.0
