rent_id,property_id,agreement_date,rent_start_date,rent_end_date,rent_amount,client_id,commission_id,contract_id
1,171,2020-02-15,2020-04-18,2025-04-18,50604.0,193,846,1
2,259,2020-01-05,2020-02-29,2021-02-28,49528.0,21,269,2
3,210,2020-07-11,2020-10-01,2023-10-01,38420.0,765,791,3
4,765,2021-04-08,2021-06-30,2024-06-30,27640.0,668,31,4
5,546,2023-02-08,2023-05-25,2024-05-25,59525.0,941,743,5
6,280,2024-04-20,2024-08-18,2029-08-18,66308.0,1000,730,6
7,898,2023-09-29,2023-11-12,2027-11-12,58317.0,165,546,7
8,647,2022-10-24,2022-12-10,2026-12-10,20098.0,274,644,8
9,318,2019-12-14,2020-02-02,2024-02-02,18164.0,67,192,9
10,662,2021-01-22,2021-04-30,2026-04-30,57592.0,990,762,10
11,642,2019-09-29,2020-01-13,2022-01-13,44633.0,144,907,11
12,309,2019-07-28,2019-11-04,2024-11-04,,503,282,12
13,91,2021-08-06,2021-09-08,2025-09-08,51883.0,259,810,13
14,115,2019-07-25,2019-11-19,2022-11-19,72455.0,731,469,14
15,983,2022-08-15,2022-09-18,2026-09-18,58371.0,918,678,15
16,28,2020-12-04,2021-01-05,2026-01-05,62570.0,225,450,16
17,788,2020-09-27,2020-12-14,2023-12-14,28876.0,795,270,17
18,396,2024-03-06,2024-05-02,2027-05-02,16716.0,555,740,18
19,530,2022-07-05,2022-10-01,2027-10-01,26999.0,929,47,19
20,989,2022-01-22,2022-03-19,2026-03-19,26068.0,83,847,20
21,422,2024-02-20,2024-05-16,2026-05-16,68909.0,277,361,21
22,366,2022-01-22,2022-02-27,2026-02-27,65626.0,12,557,22
23,669,2019-06-15,2019-09-26,2022-09-26,32011.0,713,918,23
24,125,2019-08-18,2019-11-02,2023-11-02,63268.0,558,318,24
25,236,2019-05-23,2019-08-31,2022-08-31,71713.0,372,836,25
26,92,2024-01-04,2024-04-22,2028-04-22,69425.0,987,368,26
27,568,2020-10-04,2020-11-06,2023-11-06,61931.0,51,71,27
28,921,2019-08-15,2019-10-08,2021-10-08,25241.0,329,687,28
29,753,2022-03-12,2022-05-21,2027-05-21,71644.0,456,445,29
30,683,2020-01-03,2020-03-27,2025-03-27,50889.0,781,6,30
31,169,2022-02-13,2022-04-25,2025-04-25,65443.0,708,276,31
32,564,2023-03-03,2023-06-04,2024-06-04,,463,587,32
33,776,2021-04-01,2021-05-08,2023-05-08,38673.0,782,862,33
34,472,2020-10-09,2020-11-21,2024-11-21,37417.0,176,998,34
35,957,2019-11-11,2020-03-02,2023-03-02,,493,765,35
36,596,2021-12-05,2022-03-02,2023-03-02,42835.0,458,616,36
37,782,2023-02-08,2023-03-27,2024-03-27,23732.0,15,308,37
38,719,2021-12-03,2022-01-08,2025-01-08,30353.0,824,505,38
39,10,2022-09-16,2022-12-24,2026-12-24,,48,575,39
40,19,2022-03-30,2022-05-03,2027-05-03,60205.0,691,818,40
