visit_id,property_id,visit_date,client_id,description
1,110,2019-03-14,316,Moderately Interested in Rent
2,61,2022-04-22,258,Moderately Interested in Purchase
3,3,2021-12-16,185,Moderately Interested in Purchase
4,683,2019-08-10,762,Not Interested in Property
5,728,2022-05-09,534,Highly Interested in Rent
6,940,2021-10-26,922,Highly Interested in Rent
7,796,2021-04-17,957,Requires Significant Changes or Renovations
8,411,2019-09-20,861,Interested but Price is a Concern
9,185,2022-12-29,469,Highly Interested in Rent
10,92,2023-09-15,372,Requires Significant Changes or Renovations
11,646,2023-06-24,949,Interested but Price is a Concern
12,806,2021-11-03,991,Requires Significant Changes or Renovations
13,923,2024-01-25,3,Highly Interested in Purchase
14,334,2020-03-12,570,Waiting on External Factors
15,438,2020-10-14,990,Highly Interested in Rent
16,405,2020-08-01,886,Waiting on External Factors
17,373,2021-07-26,38,Interested but Price is a Concern
18,865,2023-03-04,250,Interested in a Different Type of Property
19,928,2022-08-01,759,Requires Significant Changes or Renovations
20,367,2022-08-11,498,Not Interested in Property
21,555,2020-04-23,567,Waiting on External Factors
22,606,2019-03-17,347,Highly Interested in Purchase
23,899,2023-09-27,355,Moderately Interested in Purchase
24,488,2021-03-23,177,Moderately Interested in Purchase
25,941,2022-05-10,568,Requires Significant Changes or Renovations
26,779,2021-12-21,583,Interested but Needs More Information
27,226,2019-05-20,36,Not Interested in Property
28,919,2019-11-22,580,Not Interested in Property
29,382,2019-11-25,212,Interested but Needs More Information
30,414,2023-08-02,199,Interested but Needs More Information
31,599,2022-05-09,695,Moderately Interested in Rent
32,691,2019-08-17,475,Moderately Interested in Purchase
33,136,2021-03-02,139,Interested but Price is a Concern
34,236,2019-03-18,512,Waiting on External Factors
35,825,2022-12-13,989,Interested but Needs More Information
36,10,2022-04-24,428,Highly Interested in Rent
37,553,2021-10-09,63,Waiting on External Factors
38,953,2019-11-13,91,Highly Interested in Rent
39,880,2019-08-15,834,Moderately Interested in Purchase
40,72,2022-11-30,829,Not Interested in Property
41,255,2022-07-26,459,Interested but Needs More Information
42,974,2021-05-04,476,Interested but Price is a Concern
43,13,2021-02-07,263,Interested but Price is a Concern
44,237,2019-09-16,429,Highly Interested in Rent
45,663,2021-11-01,590,Highly Interested in Rent
46,490,2020-11-25,716,Interested in a Different Type of Property
47,861,2019-12-12,532,Not Interested in Property
48,575,2021-06-26,10,Highly Interested in Rent
49,483,2023-04-09,668,Interested in a Different Type of Property
50,774,2021-05-17,600,Interested but Price is a Concern
51,753,2021-10-01,901,Interested but Price is a Concern
52,603,2022-10-10,20,Highly Interested in Purchase
53,659,2020-03-19,920,Interested but Price is a Concern
54,449,2021-04-20,591,Requires Significant Changes or Renovations
55,320,2023-05-05,573,Waiting on External Factors
56,200,2023-11-02,361,Highly Interested in Purchase
57,689,2023-02-07,456,Not Interested in Property
58,945,2019-12-25,592,Highly Interested in Purchase
59,827,2023-09-01,690,Interested but Needs More Information
60,478,2020-10-19,223,Interested in a Different Type of Property
61,482,2019-10-08,739,Highly Interested in Rent
62,701,2020-11-30,527,Moderately Interested in Purchase
63,564,2022-12-17,335,Moderately Interested in Rent
64,384,2021-08-11,755,Highly Interested in Rent
65,790,2023-12-07,231,Interested in a Different Type of Property
66,196,2022-02-17,409,Interested in a Different Type of Property
67,39,2023-08-03,578,Requires Significant Changes or Renovations
68,587,2021-11-02,988,Highly Interested in Rent
69,912,2019-11-14,961,Moderately Interested in Purchase
70,336,2022-03-21,155,Moderately Interested in Rent
71,378,2019-09-21,462,Moderately Interested in Rent
72,782,2022-10-17,249,Not Interested in Property
73,301,2019-09-14,82,Interested in a Different Type of Property
74,16,2023-02-07,857,Highly Interested in Rent
75,294,2020-06-29,49,Not Interested in Property
76,183,2021-03-23,700,Highly Interested in Rent
77,415,2021-04-09,224,Interested in a Different Type of Property
78,286,2020-03-12,31,Moderately Interested in Rent
79,435,2020-04-25,262,Interested but Needs More Information
80,394,2019-03-01,95,Interested but Needs More Information
81,990,2021-10-26,191,Waiting on External Factors
82,802,2021-12-30,55,Interested but Needs More Information
83,329,2023-12-08,790,Interested but Needs More Information
84,780,2023-07-20,774,Interested but Needs More Information
85,32,2020-11-20,815,Moderately Interested in Purchase
86,376,2021-03-04,889,Highly Interested in Purchase
87,817,2019-05-11,388,Interested but Needs More Information
88,503,2021-08-03,610,Interested in a Different Type of Property
89,738,2020-06-19,288,Requires Significant Changes or Renovations
90,667,2020-04-08,862,Interested but Price is a Concern
91,674,2020-03-05,702,Highly Interested in Purchase
92,737,2020-06-19,156,Not Interested in Property
93,353,2022-12-10,846,Highly Interested in Rent
94,579,2023-04-05,266,Interested in a Different Type of Property
95,686,2020-09-11,832,Highly Interested in Rent
96,803,2020-01-31,724,Requires Significant Changes or Renovations
97,141,2022-06-22,612,Waiting on External Factors
98,619,2020-12-29,660,Highly Interested in Rent
99,304,2020-04-23,492,Interested in a Different Type of Property
100,409,2019-07-19,430,Moderately Interested in Purchase
101,618,2020-12-18,18,Moderately Interested in Rent
102,989,2021-10-31,398,Interested but Price is a Concern
103,612,2022-05-14,883,Interested but Needs More Information
104,290,2019-10-01,796,Interested in a Different Type of Property
105,961,2022-06-14,509,Not Interested in Property
106,584,2020-03-06,859,Highly Interested in Purchase
107,90,2021-10-23,873,Moderately Interested in Rent
108,498,2023-08-21,40,Interested in a Different Type of Property
109,303,2023-05-04,564,Moderately Interested in Purchase
110,755,2019-08-11,127,Waiting on External Factors
111,758,2022-04-10,854,Moderately Interested in Purchase
112,957,2019-07-30,735,Highly Interested in Purchase
113,970,2019-03-26,396,Moderately Interested in Purchase
114,140,2022-10-17,969,Requires Significant Changes or Renovations
115,445,2020-01-24,730,Not Interested in Property
116,357,2019-12-17,368,Interested but Needs More Information
117,134,2022-05-17,189,Interested but Price is a Concern
118,905,2020-07-28,874,Moderately Interested in Rent
119,363,2019-04-17,805,Not Interested in Property
120,727,2021-07-08,176,Interested but Price is a Concern
121,323,2022-09-24,334,Requires Significant Changes or Renovations
122,720,2021-02-22,291,Interested but Needs More Information
123,684,2019-12-09,997,Moderately Interested in Rent
124,209,2021-05-24,552,Interested but Price is a Concern
125,597,2021-09-16,539,Requires Significant Changes or Renovations
126,641,2021-09-25,619,Moderately Interested in Rent
127,231,2022-11-12,876,Moderately Interested in Purchase
128,299,2022-08-19,741,Moderately Interested in Rent
129,965,2019-07-31,68,Not Interested in Property
130,246,2023-06-03,190,Moderately Interested in Purchase
131,903,2021-03-09,644,Moderately Interested in Rent
132,931,2023-07-14,342,Interested in a Different Type of Property
133,590,2020-07-14,935,Moderately Interested in Purchase
134,491,2023-12-11,229,Waiting on External Factors
135,681,2021-11-03,685,Not Interested in Property
136,886,2023-06-05,69,Interested but Needs More Information
137,239,2022-06-20,140,Interested in a Different Type of Property
138,205,2020-10-08,778,Interested but Price is a Concern
139,142,2021-01-04,80,Moderately Interested in Rent
140,66,2019-09-11,431,Moderately Interested in Purchase
141,626,2022-09-21,515,Interested but Price is a Concern
142,604,2023-04-27,554,Not Interested in Property
143,349,2020-12-17,162,Waiting on External Factors
144,651,2021-07-06,390,Interested in a Different Type of Property
145,904,2020-01-26,446,Moderately Interested in Purchase
146,465,2020-06-10,449,Interested in a Different Type of Property
147,22,2022-06-19,239,Requires Significant Changes or Renovations
148,235,2020-05-18,157,Interested but Needs More Information
149,799,2021-07-11,892,Interested but Needs More Information
150,655,2022-07-21,479,Waiting on External Factors
151,954,2019-10-12,627,Requires Significant Changes or Renovations
152,198,2021-10-03,137,Moderately Interested in Purchase
153,773,2021-12-23,349,Interested in a Different Type of Property
154,991,2019-02-24,750,Interested in a Different Type of Property
155,857,2023-10-14,389,Interested but Price is a Concern
156,400,2021-07-31,124,Highly Interested in Purchase
157,43,2023-09-04,470,Highly Interested in Rent
158,228,2020-02-16,484,Requires Significant Changes or Renovations
159,471,2021-07-28,354,Interested in a Different Type of Property
160,522,2023-11-14,301,Waiting on External Factors
161,506,2020-11-12,119,Waiting on External Factors
162,642,2019-08-21,437,Highly Interested in Purchase
163,671,2020-03-25,305,Interested but Price is a Concern
164,52,2022-04-16,611,Waiting on External Factors
165,673,2023-10-27,295,Interested in a Different Type of Property
166,538,2022-01-28,838,Waiting on External Factors
167,94,2020-07-13,836,Requires Significant Changes or Renovations
168,139,2021-06-01,489,Not Interested in Property
169,509,2019-11-06,652,Moderately Interested in Rent
170,443,2023-03-25,914,Moderately Interested in Rent
171,586,2020-04-21,187,Highly Interested in Rent
172,578,2022-05-05,86,Interested in a Different Type of Property
173,122,2023-03-25,929,Interested in a Different Type of Property
174,195,2020-08-05,678,Not Interested in Property
175,546,2022-10-05,613,Requires Significant Changes or Renovations
176,346,2023-08-29,315,Requires Significant Changes or Renovations
177,853,2022-11-20,24,Interested in a Different Type of Property
178,364,2022-05-15,595,Interested but Needs More Information
179,713,2019-11-08,609,Requires Significant Changes or Renovations
180,344,2021-01-09,807,Moderately Interested in Purchase
181,543,2023-11-03,447,Not Interested in Property
182,456,2019-02-19,52,Not Interested in Property
183,273,2022-07-10,736,Highly Interested in Rent
184,843,2020-12-25,83,Interested but Price is a Concern
185,464,2020-12-12,219,Interested but Needs More Information
186,105,2020-12-03,951,Interested but Price is a Concern
187,88,2021-04-06,259,Interested but Price is a Concern
188,124,2021-02-28,722,Highly Interested in Purchase
189,552,2022-08-11,803,Moderately Interested in Rent
190,709,2023-08-24,624,Highly Interested in Rent
191,514,2019-05-10,808,Highly Interested in Purchase
192,191,2023-10-07,880,Moderately Interested in Rent
193,326,2022-12-15,221,Moderately Interested in Rent
194,455,2021-05-03,210,Interested in a Different Type of Property
195,433,2019-02-09,723,Waiting on External Factors
196,370,2023-05-03,434,Interested but Needs More Information
197,5,2019-08-22,204,Interested but Price is a Concern
198,392,2020-01-04,664,Moderately Interested in Purchase
199,600,2020-04-18,183,Interested but Needs More Information
200,390,2024-01-07,681,Moderately Interested in Purchase
201,274,2020-06-25,378,Moderately Interested in Rent
202,997,2023-02-03,801,Interested but Needs More Information
203,866,2020-07-21,88,Moderately Interested in Rent
204,232,2020-10-26,112,Requires Significant Changes or Renovations
205,878,2020-04-15,954,Interested but Needs More Information
206,832,2023-03-12,543,Not Interested in Property
207,634,2019-10-01,975,Not Interested in Property
208,272,2020-06-07,540,Highly Interested in Rent
209,703,2021-07-20,977,Moderately Interested in Rent
210,21,2020-01-18,233,Moderately Interested in Purchase
211,557,2022-06-08,201,Not Interested in Property
212,895,2022-09-17,120,Waiting on External Factors
213,968,2023-07-19,905,Not Interested in Property
214,789,2021-07-02,904,Requires Significant Changes or Renovations
215,283,2023-01-11,420,Waiting on External Factors
216,355,2022-12-18,887,Highly Interested in Rent
217,429,2020-10-23,364,Moderately Interested in Purchase
218,829,2023-03-23,451,Interested but Needs More Information
219,398,2020-02-26,675,Not Interested in Property
220,229,2022-01-17,330,Highly Interested in Rent
221,768,2021-01-31,64,Highly Interested in Purchase
222,685,2023-12-12,100,Highly Interested in Rent
223,992,2020-04-20,703,Moderately Interested in Purchase
224,574,2020-05-22,915,Highly Interested in Rent
225,495,2019-08-04,663,Moderately Interested in Rent
226,807,2022-01-14,284,Interested but Price is a Concern
227,163,2022-01-28,197,Interested in a Different Type of Property
228,396,2023-12-16,99,Moderately Interested in Rent
229,342,2021-05-14,676,Not Interested in Property
230,541,2020-12-02,161,Moderately Interested in Purchase
231,31,2020-02-22,537,Requires Significant Changes or Renovations
232,309,2019-06-22,579,Interested but Price is a Concern
233,116,2021-03-21,765,Interested but Needs More Information
234,795,2020-03-22,148,Waiting on External Factors
235,407,2020-04-26,180,Requires Significant Changes or Renovations
236,107,2020-07-23,625,Waiting on External Factors
237,816,2021-01-19,71,Moderately Interested in Purchase
238,80,2023-08-27,584,Interested in a Different Type of Property
239,786,2021-07-26,565,Highly Interested in Rent
240,444,2022-03-23,737,Highly Interested in Rent
241,581,2019-08-15,916,Interested but Price is a Concern
242,944,2022-04-21,353,Waiting on External Factors
243,976,2020-05-17,11,Interested but Needs More Information
244,275,2020-02-14,374,Highly Interested in Rent
245,929,2023-06-15,622,Moderately Interested in Purchase
246,936,2019-12-29,346,Highly Interested in Rent
247,766,2022-08-03,628,Waiting on External Factors
248,814,2023-11-04,359,Requires Significant Changes or Renovations
249,50,2022-03-14,440,Moderately Interested in Purchase
250,621,2023-03-17,60,Moderately Interested in Rent
